7	0	39	0	47	; background	; C x1 x2 y1 y2
0	9	30	2	45	; floppy
5	19	19	33	43	; opening
5	17	21	18	28	; ring
5	16	22	22	24	; ring
5	18	20	17	29	; ring
7	19	20	20	27	; hole
7	18	20	21	26	; hole
5	23	23	26	26	; index hole
15	10	29	3	14	; label
7	30	30	16	17	; write protect notch
6	26	27	12	12	; blue apple
2	25	28	11	11	; purple apple
1	25	28	10	10	; red apple
9	25	27	9	9	; orange apple
13	25	27	8	8	; yellow apple
12	25	28	7	7	; l.green
12	26	26	6	6	; l.green
12	27	27	5	5	; leaf
6	0	39	44	47	; water
4	32	39	29	43	; head
4	12	39	33	40	; nose
4	13	15	31	32	; nose	
0	33	34	30	31	; l. eye
0	37	38	30	31	; r. eye
15	14	15	41	43	; tooth
15	19	20	41	43	; tooth
