# label         dos3.3 name     prefix for png file
smil		SMIL.ZX02	a2_smil			' WattTack
jspi		JSPI.ZX02	a2_jspi			'
sup		SUP.ZX02	a2_sup			' WattTack
sunset		SUNSET.ZX02	a2_sunset		' WattTack
heart		HEART.ZX02	a2_heart		'
paul		PAUL.ZX02	a2_paul			'
elena1		ELENA1.ZX02	a2_elena1		' esw
elena2		ELENA2.ZX02	a2_elena2		' esw
keen		KEEN.ZX02	a2_keen			'
keen_l1		KEEN_L1.ZX02	a2_keen_l1		'
e_mushroom	E_MUSHROOM.ZX02	a2_e_mushroom		' esw
scientist4	SCIENTIST4.ZX02	a2_scientist4		' dman
e_mushroom2	E_MUSHROOM2.ZX02	a2_e_mushroom2	' esw
e_mushroom3	E_MUSHROOM3.ZX02	a2_e_mushroom3	' esw
ghib		GHIB.ZX02	a2_ghib			'@StuntmAEn_Bob 
girl_door	GIRLDOOR.ZX02	a2_girl_door		' grongy
ldos		LDOS.ZX02	a2_ldos			' rkt
ldos2		LDOS2.ZX02	a2_ldos2		' rkt
saturn_war	SATURN_WAR.ZX02	a2_saturn_warrior	' rkt
house		HOUSE.ZX02	a2_house		' @starmanpixel
lovely		LOVELY.ZX02	a2_lovely_perihelion	' perihelion
outrun		OUTRUN.ZX02	a2_outrun_crack_powlow_paolo ' powlow_paolo
trees		TREES.ZX02	a2_trees_powlow_paolo	' powlow_paolo
bird		BIRD_ZX02	helpcomputer0_bird	' @helpcomputer0
bear		BEAR_ZX02	a2_bear			' UriS
girl_armor	ARMOR_ZX02	a2_girl_armor		' @exidelo
house2		HOUSE2.ZX02	pixel_apothecary_house	' @pixelapothecary
tcgirl		TCGIRL.ZX02	tacocrepe_girl_hgr	' @tacocrepe
